reconciliation_id,diagram_scope,diagram_evidence,workstream_alignment,reconciliation_status,action_required,evidence_refs,notes
EDR-001,Diagram source control,"J40.jpg browser export and J40.graffle editable source","Electrical master documentation row and dashboard wiring-diagram evidence set now point to the raw import files.",matched,"Update the Graffle first and export a fresh JPG after any physical wiring change.","data/raw/imports/J40.jpg|data/raw/imports/J40.graffle|data/manual/workbook_tabs/electrical_master.csv","The JPG is the viewable dashboard reference; the Graffle is the editable source of truth."
EDR-002,Power corner topology,"Battery, 100A breaker, MIDI Fuse Holders (2), MIDI Fuse Holders (4), Relay Bank (9)","Matches the Electrical Master power-corner row plus current MIDI Rev D and battery power carrier fabrication releases.",matched_verify_on_refit,"Retorque and inspect battery-breaker-MIDI-relay feed lugs during final reassembly.","data/manual/workbook_tabs/electrical_master.csv#row_6|data/manual/fabrication_handoff_requirements.csv#FAB-ELEC-002|data/manual/fabrication_handoff_requirements.csv#FAB-ELEC-004","Diagram agrees with the intended battery-to-protection-to-distribution path."
EDR-003,Heavy cable and high-current feeds,"Alternator, starter solenoid, winch contactor pack, winch motor, 0 AWG/2 AWG/35mm/25mm/16mm/10mm labels","Partially matches HD1 heavy discrete cables and the May 17 engine electrical input reconciliation; procurement records do not split every heavy cable size shown in the diagram.",partial_match,"Physically count and label heavy cable stock, trim the overlength feed into three serviceable segments, then voltage-drop test start, charge, ground, and winch paths.","data/manual/workbook_tabs/electrical_master.csv#rows_58_62_77_78|data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-001|data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-002|data/manual/expenses.csv#part_electric_wires","Do not buy more heavy cable from the diagram alone; stock count and installed route lengths control."
EDR-004,Grounding architecture,"NEG, Chassis, Body / Dash, Engine Block, Chassis Strap, Braided Strap 0.6m, Winch Motor Ground","Matches the Electrical Master grounding row and Fastener Kit D grounding hardware tracking, but physical validation remains open after tub/chassis work.",partial_match,"Clean ground points, fit serrated/star hardware where appropriate, torque, coat, and record voltage-drop readings after refit.","data/manual/workbook_tabs/electrical_master.csv#row_17|data/manual/procurement_queue.csv#part_fastener_kit_d_millat|data/manual/expenses.csv#part_fastener_kit_d_millat","Fastener delivery is still tracked separately; grounding is not closed by the diagram."
EDR-005,Relay bank active circuits,"Low Beam, High Beam, Horn, Condenser Fan, Spot Lamps, AC Clutch, Auxiliary Power, Spare","Matches the relay quick lookup for T1-T5 plus B1/B2 and the spare relay positions.",matched_verify_on_refit,"Run continuity and load tests across each relay output before final loom wrap.","data/manual/workbook_tabs/electrical_master.csv#rows_35_44","Diagram labels agree with the current relay assignment baseline."
EDR-006,Dash control returns and switch triggers,"High Beam Trigger, Low Beam Trigger, Spot Lamp Trigger, Horn Trigger, Left/Right Indicator Feed, Hazard Switch, Fuel Stop, AC Request Trigger, Pressure Switch Chain","Partially matches switch-panel, fuel-stop, AC control, and hazard/stalk workstream records; mechanical mounting and termination are still open.",partial_match,"Complete Schneider selector fit-up, retain hazard/OEM stalk separation, prove fuel-stop behavior with manual backup, and test AC pressure-chain logic.","data/manual/workbook_tabs/electrical_master.csv#rows_13_15_20|data/manual/reference_projects_and_ideas.csv#schneider_selector_layout|data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-003","The diagram validates control intent; it does not close switch mounting or live shutdown tests."
EDR-007,Ignition and cabin feed distribution,"Ignition Switch, BATT, ACC, IGN, START, Ignition Relay, Ignition Feed, Ignition Out, Constant Out, ACC Out, Stereo Main, Stereo Memory, Interior Light, Central Locking, Auxiliary Power","Partially matches L4 ignition loom and the planned compact cabin fuse protection requirement for constant, RUN, and ACC groups.",partial_match,"Isolate the three under-dash fuse input groups, verify the existing 12-way donor block, buy only the missing compact add-on, and resolve ignition barrel/security.",data/manual/workbook_tabs/electrical_master.csv#rows_16_65|data/manual/procurement_queue.csv#part_cabin_compact_fuse_boxes,"The diagram shows output groups; the fuse-box grouping and physical fuse count remain controlled by procurement/master records."
EDR-008,Front loom outputs,"Front Left Indicators, Front Right Indicators, High Beam, Low Beam, Spotlights, Horn, Condenser Fan, A/C Clutch Wiring near compressor","Matches L2 front trunk, X1 front trunk disconnect, left/right branch controls, and the active relay rows.",matched_verify_on_refit,"Continuity-test front loom circuits, then live-test lights, indicators, horn, fan request, and clutch feed after welding risk is gone.",data/manual/workbook_tabs/electrical_master.csv#rows_35_40_48_63,"Final protection and grommet checks still happen after functional testing."
EDR-009,Rear loom outputs,"Left Rear Indicators, Right Rear Indicators, Tail Lights, Brake Lights, Reverse Lights, Fuel Sender, Number Plate Light, Rear View Camera","Mostly matches L3 rear loom plus X2/X6/X9 rear disconnects; rear-view camera is present in the diagram but remains an optional dashboard/display dependency.",partial_match,"Test rear lights and sender as baseline; hold rear-view camera wiring until the display/camera spec is selected.",data/manual/workbook_tabs/electrical_master.csv#rows_49_53_56_64|data/manual/expenses.csv#part_android_unit,"Camera should not force baseline electrical closure."
EDR-010,Dash instruments and warning lamps,"Instrument Cluster, Gauges / Instrument Cluster / Warning Lamps, Dash Lighting, Fuel Sender","Partially matches the functional-test gate and May 17 sender/warning-lamp reconciliation.",partial_match,"Identify sender terminals, continuity-test to the dash endpoint, and log dash response before final wrap.",data/manual/workbook_tabs/electrical_master.csv#rows_20_78|data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-004,"Exact engine sender functions still need component-side proof."
EDR-011,Engine start charge and stop integration,"Starter Solenoid, Alternator, Diesel Solenoid Trigger, Fuel Stop, Fuel Stop Switch","Partially matches EEI-001 through EEI-003 plus the pending fuel-stop control row.",partial_match,"Read terminal markings, replace damaged ends, prove key-on/key-off shutdown, and retain the manual diesel cutoff cable.",data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-001|data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-002|data/manual/engine_electrical_inputs_reconciliation_20260517.csv#EEI-003|data/manual/workbook_tabs/electrical_master.csv#row_15,"No engine connector should be reconnected from color alone."
