action_id,priority,owner,action,status,blocks_order_lines,record_result_in,why_it_matters
BMA-001,P0,David_or_mechanic,"Lay out every removed body-mount rubber, stopper/seat, washer/cup, sleeve, shim, and bolt on a board by vehicle position: front-left, front-right, middle-left, middle-right, rear-left, rear-right, plus separate front-support left/right.",open,"BM-OE-001 to BM-OE-014; BM-FAB-001 to BM-FAB-005; BM-HW-001 to BM-HW-005; BM-SHIM-001 to BM-SHIM-002","data/manual/body_mount_station_closure_sheet.csv; photos; data/manual/rubber_recreation_measurement_closure.csv","The current OE candidate list has 16 cushion/seat rubber pieces while the photo-derived custom package has 12 circular cushions plus front support pieces. The route cannot be released until the actual vehicle count is clear."
BMA-002,P0,David_or_mechanic,"Decide the route after the layout: complete OE/reproduction package, or local fabrication from the measured samples. Mark the rejected route as do-not-order.",open,"BM-OE-001 to BM-OE-014; BM-FAB-001 to BM-FAB-005","data/manual/body_mount_order_release_specs.csv notes or data/manual/body_mount_station_closure_sheet.csv","Buying both routes duplicates expensive rubber and can create mixed hardness/height problems."
BMA-003,P0,David_or_mechanic,"For the current stopper/seat pieces, measure OD, centre hole/ID, total height, dish/register depth, and steel/rubber thickness. Photograph each one beside a ruler and label station.",open,"BM-OE-007 to BM-OE-009; BM-HW-002; BM-FAB-002","data/manual/rubber_recreation_measurement_closure.csv","The stopper/seat pieces are the likely link between the OE part-number list and the custom 64 mm small cushion stack."
BMA-004,P0,David_or_mechanic,"Measure one best large circular cushion and one best small circular cushion with calipers: three OD readings, centre bore/register, register OD/depth, and four height readings.",open,"BM-FAB-001; BM-FAB-002; BM-HW-001; BM-HW-002","data/manual/rubber_recreation_measurement_closure.csv","The tape-measure dimensions are good enough for quote/prototype, but final fabrication needs caliper release."
BMA-005,P0,David_or_mechanic,"Disassemble or inspect one small circular mount stack and decide whether it is one 22 mm cushion or a split medium bushing plus seat stack.",open,"BM-FAB-002; BM-HW-001; BM-SHIM-001","data/manual/rubber_recreation_measurement_closure.csv","This controls small rubber height, sleeve length, and installed body height."
BMA-006,P0,David_or_mechanic,"Measure old sleeve/crush tube ID, OD, and length at each station. If no sleeve survives, dry-stack rubber/cups and derive sleeve length from final stack height minus 3-4 mm compression.",open,"BM-HW-001; BM-HW-003","data/manual/rubber_recreation_measurement_closure.csv","Sleeve length prevents over-crushing the rubber and determines the bolt clamped stack."
BMA-007,P0,David_or_mechanic,"Thread-gauge every old body-mount bolt and captive nut. Confirm M10 x 1.25 or record the actual pitch. Measure usable captive nut depth and old bolt under-head length.",open,"BM-OE-011 to BM-OE-014; BM-HW-003; BM-HW-004","data/manual/body_mount_station_closure_sheet.csv","The catalog confirms bolt identities but not usable length. Wrong pitch or bottomed bolts will damage captive nuts."
BMA-008,P0,David_or_mechanic,"Preserve and measure original shim/spacer packs by station. Record each thickness and whether it sat metal-to-metal or inside the rubber stack.",open,"BM-SHIM-001; BM-SHIM-002","data/manual/body_mount_station_closure_sheet.csv","Shim thickness controls tub height and panel gaps. Shims must not be replaced by random washer stacks."
BMA-009,P1,David_or_mechanic,"Trace left and right front-support strip rubbers/carriers on card or acetate and mark hole centres from the metal carrier, not from torn rubber.",open,"BM-FAB-004; BM-FAB-005","template_trace_photos; data/manual/rubber_recreation_measurement_closure.csv","The strip pieces are curled/torn in photos, so final cut patterns must come from a trace."
BMA-010,P1,David_or_mechanic,"Check front-support fastener diameter and pitch directly. Confirm whether the 12 mm holes use M10 clearance, M12 bolts, or a prior repair.",open,"BM-FAB-003; BM-HW-005","data/manual/body_mount_station_closure_sheet.csv","Hole diameter alone does not prove bolt thread. Do not buy M12 hardware until this is known."
BMA-011,P1,David_or_mechanic,"Dry-stack one large station, one small station, and one front-support station with rubber, cup/seat, sleeve, shim, and temporary bolt. Confirm body-side and chassis-side faces sit flat.",open,"BM-HW-001; BM-HW-003; BM-SHIM-001; BM-SHIM-002","data/manual/body_mount_station_closure_sheet.csv; photos","This is the final check before cutting sleeves or choosing final bolt lengths."
