section_key,section_title,section_description,source_path,caption,specific_component,source_label,notes
whatsapp_j40_interior_refs,WhatsApp J40 Interior References,Interior and original-detail reference images from Akber messages and the interior-contact discussion,data/raw/imports/akber_khan/00000170-PHOTO-2026-03-15-16-27-15.jpg,J40 foot-vent reference from WhatsApp 2026-03-15 16:27:15,j40_foot_vent_reference,Akber Khan WhatsApp,Sent after the interior contact discussion; used as J40 dash and foot-vent reference.
whatsapp_j40_interior_refs,WhatsApp J40 Interior References,Interior and original-detail reference images from Akber messages and the interior-contact discussion,data/raw/imports/akber_khan/00000171-PHOTO-2026-03-15-16-27-16.jpg,J40 dash and switch reference from WhatsApp 2026-03-15 16:27:16,j40_dash_switch_reference,Akber Khan WhatsApp,Adjacent image in the foot-vent reference cluster.
whatsapp_j40_interior_refs,WhatsApp J40 Interior References,Interior and original-detail reference images from Akber messages and the interior-contact discussion,data/raw/imports/akber_khan/00000172-PHOTO-2026-03-15-16-27-17.jpg,J40 dash and switch reference from WhatsApp 2026-03-15 16:27:17,j40_dash_switch_reference,Akber Khan WhatsApp,Adjacent image in the foot-vent reference cluster.
whatsapp_j40_interior_refs,WhatsApp J40 Interior References,Interior and original-detail reference images from Akber messages and the interior-contact discussion,data/raw/imports/akber_khan/00000173-PHOTO-2026-03-15-16-27-18.jpg,J40 foot-vent reference from WhatsApp 2026-03-15 16:27:18,j40_foot_vent_reference,Akber Khan WhatsApp,Sent with the note about the side doors being foot vents.
whatsapp_j40_interior_refs,WhatsApp J40 Interior References,Interior and original-detail reference images from Akber messages and the interior-contact discussion,data/raw/imports/akber_khan/00000174-PHOTO-2026-03-15-16-28-17.jpg,J40 speaker and fuse-box placement reference from WhatsApp 2026-03-15 16:28:17,j40_speaker_fuse_mount_reference,Akber Khan WhatsApp,Sent with the speaker versus fuse-box placement note.
whatsapp_j40_interior_refs,WhatsApp J40 Interior References,Interior and original-detail reference images from Akber messages and the interior-contact discussion,data/raw/imports/akber_khan/00000175-PHOTO-2026-03-15-16-28-19.jpg,J40 speaker and fuse-box placement reference from WhatsApp 2026-03-15 16:28:19,j40_speaker_fuse_mount_reference,Akber Khan WhatsApp,Sent with the speaker versus fuse-box placement note.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000236-PHOTO-2026-03-15-19-45-52.jpg,Seat and interior trim sample from WhatsApp 2026-03-15 19:45:52,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000237-PHOTO-2026-03-15-19-45-52.jpg,Seat and interior trim sample from WhatsApp 2026-03-15 19:45:52,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000239-PHOTO-2026-03-15-19-45-53.jpg,Seat and upholstery sample from WhatsApp 2026-03-15 19:45:53,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000241-PHOTO-2026-03-15-19-45-53.jpg,Seat and upholstery sample from WhatsApp 2026-03-15 19:45:53,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000243-PHOTO-2026-03-15-19-45-54.jpg,Steering and interior finish sample from WhatsApp 2026-03-15 19:45:54,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000244-PHOTO-2026-03-15-19-45-54.jpg,Seat and interior trim sample from WhatsApp 2026-03-15 19:45:54,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000245-PHOTO-2026-03-15-19-45-55.jpg,Seat and interior trim sample from WhatsApp 2026-03-15 19:45:55,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000246-PHOTO-2026-03-15-19-45-55.jpg,Seat and upholstery sample from WhatsApp 2026-03-15 19:45:55,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000247-PHOTO-2026-03-15-19-45-55.jpg,Seat and upholstery sample from WhatsApp 2026-03-15 19:45:55,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_samples,WhatsApp Workshop Samples,Other-build workmanship samples from Akber messages while discussing strip-down interior and panel work,data/raw/imports/akber_khan/00000248-PHOTO-2026-03-15-19-45-55.jpg,Steering and interior finish sample from WhatsApp 2026-03-15 19:45:55,interior_trim_workmanship_sample,Akber Khan WhatsApp,Sent while discussing stripping the vehicle down to one seat and checking work quality.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000266-PHOTO-2026-03-15-19-53-27.jpg,Civic engine-bay before sample from WhatsApp 2026-03-15 19:53:27,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000267-PHOTO-2026-03-15-19-53-28.jpg,Civic engine-bay before sample from WhatsApp 2026-03-15 19:53:28,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000268-PHOTO-2026-03-15-19-53-28.jpg,Civic engine-bay before sample from WhatsApp 2026-03-15 19:53:28,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000269-PHOTO-2026-03-15-19-53-29.jpg,Civic engine-bay before sample from WhatsApp 2026-03-15 19:53:29,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000270-PHOTO-2026-03-15-19-53-29.jpg,Civic engine-bay before sample from WhatsApp 2026-03-15 19:53:29,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000271-PHOTO-2026-03-15-19-53-29.jpg,Civic engine-bay cleanup sample from WhatsApp 2026-03-15 19:53:29,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000272-PHOTO-2026-03-15-19-53-30.jpg,Civic engine-bay cleanup sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000273-PHOTO-2026-03-15-19-53-30.jpg,Civic engine-bay cleanup sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000274-PHOTO-2026-03-15-19-53-30.jpg,Civic engine component finish sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
